group	corr_value	gene_id
Targets	0.17198	ENSG00000213445
Targets	0.16948	ENSG00000175197
Targets	0.13393	ENSG00000204469
Targets	0.14934	ENSG00000101940
Targets	0.16228	ENSG00000126458
Targets	0.09525	ENSG00000105707
Targets	0.25942	ENSG00000126368
Targets	0.22314	ENSG00000183087
Targets	-0.00138	ENSG00000187193
Targets	0.06487	ENSG00000160799
Targets	0.03897	ENSG00000147251
Targets	0.0083	ENSG00000163932
Targets	0.06318	ENSG00000143545
Targets	-0.14644	ENSG00000197933
Targets	0.08367	ENSG00000122257
Targets	0.0626	ENSG00000136997
Targets	-0.17222	ENSG00000132323
Targets	-0.11666	ENSG00000102226
Targets	0.01117	ENSG00000123358
Targets	-0.0313	ENSG00000117318
Targets	-0.05172	ENSG00000027697
Targets	0.26079	ENSG00000157873
Targets	0.26043	ENSG00000125503
Targets	0.18261	ENSG00000070047
Targets	-0.0159	ENSG00000174718
Targets	-0.09776	ENSG00000174938
Targets	0.19446	ENSG00000116871
Targets	-0.02139	ENSG00000114315
Targets	0.04352	ENSG00000008869
Targets	0.07648	ENSG00000120129
Targets	-0.01838	ENSG00000156983
Targets	-0.00148	ENSG00000065154
Targets	-0.08368	ENSG00000008405
Targets	0.2837	ENSG00000079432
Targets	0.0305	ENSG00000125968
Targets	0.00992	ENSG00000157613
Targets	0.05648	ENSG00000168216
Targets	0.30879	ENSG00000162736
Targets	0.21328	ENSG00000172216
Targets	-0.00822	ENSG00000116266
Targets	0.12423	ENSG00000196422
Targets	0.08374	ENSG00000060069
Targets	0.25208	ENSG00000177728
Targets	0.11244	ENSG00000131669
Targets	-0.09877	ENSG00000115738
Targets	0.01262	ENSG00000119139
Targets	0.08463	ENSG00000169242
Targets	-0.36764	ENSG00000175130
Targets	0.05044	ENSG00000072182
Targets	0.05904	ENSG00000177303
Targets	-0.01966	ENSG00000100109
Targets	0.10075	ENSG00000142655
Targets	0.05752	ENSG00000083857
Targets	0.18621	ENSG00000141582
Targets	0.0576	ENSG00000126705
Targets	0.09751	ENSG00000179431
Targets	0.02126	ENSG00000120075
Targets	0.04172	ENSG00000121104
Targets	0.04502	ENSG00000168758
Targets	0.24192	ENSG00000167716
Targets	0.13013	ENSG00000160271
Targets	-0.11835	ENSG00000072071
Targets	-0.13913	ENSG00000152804
Targets	0.07732	ENSG00000175556
Targets	0.02213	ENSG00000020256
Targets	0.09277	ENSG00000165359
Targets	0.24938	ENSG00000116580
Targets	0.01276	ENSG00000198793
Targets	0.12231	ENSG00000139182
Targets	0.10396	ENSG00000185236
Targets	0.08286	ENSG00000115310
Targets	0.01536	ENSG00000127870
Targets	-0.05312	ENSG00000128917
Targets	0.1636	ENSG00000065526
Targets	0.18552	ENSG00000130827
Targets	0.01063	ENSG00000143862
Targets	-0.18861	ENSG00000106537
Targets	0.06253	ENSG00000100906
Targets	0.04767	ENSG00000101474
Targets	0.00446	ENSG00000110514
Targets	0.01042	ENSG00000147364
Targets	-0.04959	ENSG00000164695
Targets	0.02214	ENSG00000175348
Targets	0.07843	ENSG00000172071
Targets	0.23146	ENSG00000052841
Targets	0.08754	ENSG00000148296
Targets	0.11576	ENSG00000188313
Targets	0.0838	ENSG00000105856
Targets	0.14666	ENSG00000102100
Targets	0.1817	ENSG00000162909
Targets	-0.08734	ENSG00000043355
Targets	-0.01477	ENSG00000132002
Targets	0.26564	ENSG00000103326
Targets	0.13546	ENSG00000109099
Targets	-0.03317	ENSG00000092820
Targets	0.12674	ENSG00000163162
Targets	0.03584	ENSG00000119715
Targets	-0.06052	ENSG00000102804
Targets	0.05934	ENSG00000112812
Targets	0.31834	ENSG00000162298
Targets	-0.04334	ENSG00000134049
Targets	-0.05206	ENSG00000166831
Targets	0.03822	ENSG00000101230
Targets	-0.00416	ENSG00000034053
Targets	0.44936	ENSG00000117616
Targets	-0.0489	ENSG00000147050
Targets	0.1043	ENSG00000104763
Targets	0.07635	ENSG00000177606
Targets	-0.19102	ENSG00000120616
Targets	0.03592	ENSG00000149177
Targets	0.39694	ENSG00000182087
Targets	0.0633	ENSG00000135269
Targets	0.068	ENSG00000123636
Targets	0.2979	ENSG00000167110
Targets	0.00945	ENSG00000108262
Targets	-0.01019	ENSG00000254087
Targets	-0.04298	ENSG00000125304
Targets	0.20068	ENSG00000109046
Targets	0.01521	ENSG00000050405
Targets	0.04168	ENSG00000131435
Targets	-0.18106	ENSG00000146757
Targets	-0.01326	ENSG00000127561
Targets	-0.05103	ENSG00000120738
Targets	0.05372	ENSG00000137509
Targets	0.00643	ENSG00000112787
Targets	-0.03383	ENSG00000125170
Targets	0.03506	ENSG00000155090
Targets	0.36144	ENSG00000172432
Targets	-0.08367	ENSG00000011566
Targets	0.08818	ENSG00000113583
Targets	0.04738	ENSG00000130821
Targets	-0.07217	ENSG00000144566
Targets	0.06532	ENSG00000168575
Targets	-0.07799	ENSG00000001084
Targets	0.12187	ENSG00000076706
Targets	0.02512	ENSG00000158747
Targets	0.06913	ENSG00000134363
Targets	0.09145	ENSG00000196588
Targets	-0.25651	ENSG00000163875
Targets	0.16406	ENSG00000108557
Targets	0.07105	ENSG00000171603
Targets	0.04901	ENSG00000144579
Targets	0.00692	ENSG00000100425
Targets	-0.0379	ENSG00000164251
Targets	0.28326	ENSG00000130779
Targets	-0.0973	ENSG00000011304
Targets	-0.07397	ENSG00000134326
Targets	0.11462	ENSG00000068885
Targets	-0.03044	ENSG00000163527
Targets	0.20205	ENSG00000034677
Targets	0.09201	ENSG00000101665
Targets	0.18338	ENSG00000181027
Targets	0.22829	ENSG00000197081
Targets	-0.01234	ENSG00000102996
Targets	-0.07569	ENSG00000154080
Targets	0.03099	ENSG00000111907
Targets	-0.12794	ENSG00000160014
Targets	-0.0083	ENSG00000009335
Targets	-0.01249	ENSG00000102554
Targets	0.09474	ENSG00000196937
Targets	0.05548	ENSG00000068078
Targets	-0.20582	ENSG00000139292
Targets	0.06372	ENSG00000131873
Targets	0.09021	ENSG00000008130
Targets	0.01521	ENSG00000159200
Targets	0.16193	ENSG00000148400
Targets	-0.20633	ENSG00000196792
Targets	0.05532	ENSG00000101150
Targets	-0.06023	ENSG00000156650
Targets	-0.05751	ENSG00000170448
Targets	-0.07086	ENSG00000131165
Targets	0.14544	ENSG00000171867
Targets	-0.13113	ENSG00000164305
Targets	-0.04659	ENSG00000119541
Targets	-0.00036	ENSG00000143126
Targets	-0.01954	ENSG00000240849
Targets	0.02908	ENSG00000187164
Targets	-0.15259	ENSG00000085721
Targets	0.01045	ENSG00000184916
Targets	-0.08177	ENSG00000012660
Targets	0.05193	ENSG00000054598
Targets	-0.17051	ENSG00000135097
Targets	-0.0054	ENSG00000133872
Targets	-0.05943	ENSG00000198915
Targets	0.17482	ENSG00000189067
Targets	0.07721	ENSG00000198959
Targets	-0.06685	ENSG00000127948
Targets	0.02617	ENSG00000164830
Targets	0.18683	ENSG00000044574
Targets	0.03661	ENSG00000165802
Targets	0.15649	ENSG00000130449
Targets	0.11315	ENSG00000161526
Targets	0.1688	ENSG00000154734
Targets	0.14487	ENSG00000108639
Targets	0.23586	ENSG00000186834
Targets	0.11526	ENSG00000162734
Targets	-0.0585	ENSG00000006453
Targets	-0.04713	ENSG00000115806
Targets	-0.01058	ENSG00000205213
Targets	0.01042	ENSG00000038427
Targets	-0.12042	ENSG00000165355
Targets	0.00945	ENSG00000184937
Targets	-0.02394	ENSG00000116731
Targets	-0.06629	ENSG00000112874
