group	corr_value	gene_id
Targets	-0.01293	ENSG00000213445
Targets	0.10643	ENSG00000175197
Targets	0.05235	ENSG00000204469
Targets	0.01473	ENSG00000101940
Targets	-0.10801	ENSG00000126458
Targets	0.02972	ENSG00000105707
Targets	0.04511	ENSG00000126368
Targets	0.04742	ENSG00000183087
Targets	-0.02329	ENSG00000187193
Targets	-0.0374	ENSG00000160799
Targets	0.10441	ENSG00000147251
Targets	-0.0317	ENSG00000163932
Targets	-0.14957	ENSG00000143545
Targets	-0.04308	ENSG00000197933
Targets	0.12693	ENSG00000122257
Targets	-0.00371	ENSG00000136997
Targets	-0.03016	ENSG00000132323
Targets	-0.03405	ENSG00000102226
Targets	0.02316	ENSG00000123358
Targets	-0.04919	ENSG00000117318
Targets	-0.06567	ENSG00000027697
Targets	0.06794	ENSG00000157873
Targets	0.06507	ENSG00000125503
Targets	0.01688	ENSG00000070047
Targets	0.10384	ENSG00000174718
Targets	-0.04635	ENSG00000174938
Targets	-0.01134	ENSG00000116871
Targets	-0.0491	ENSG00000114315
Targets	0.1705	ENSG00000008869
Targets	-0.11098	ENSG00000120129
Targets	0.04889	ENSG00000156983
Targets	-0.02995	ENSG00000065154
Targets	-0.07956	ENSG00000008405
Targets	0.03471	ENSG00000079432
Targets	-0.08057	ENSG00000125968
Targets	-0.10922	ENSG00000157613
Targets	0.06634	ENSG00000168216
Targets	0.09105	ENSG00000162736
Targets	0.00371	ENSG00000172216
Targets	-0.05269	ENSG00000116266
Targets	0.00306	ENSG00000196422
Targets	-0.01904	ENSG00000060069
Targets	0.07412	ENSG00000177728
Targets	-0.02429	ENSG00000131669
Targets	-0.03179	ENSG00000115738
Targets	-0.0441	ENSG00000119139
Targets	-0.02233	ENSG00000169242
Targets	-0.07375	ENSG00000175130
Targets	0.11772	ENSG00000072182
Targets	-0.04529	ENSG00000177303
Targets	0.01722	ENSG00000100109
Targets	-0.08011	ENSG00000142655
Targets	-0.14532	ENSG00000083857
Targets	0.07704	ENSG00000141582
Targets	-0.00195	ENSG00000126705
Targets	0.01181	ENSG00000179431
Targets	-0.10256	ENSG00000120075
Targets	0.14286	ENSG00000121104
Targets	-0.05207	ENSG00000168758
Targets	0.04934	ENSG00000167716
Targets	0.14218	ENSG00000160271
Targets	-0.00146	ENSG00000072071
Targets	-0.08036	ENSG00000152804
Targets	-0.09138	ENSG00000175556
Targets	0.02105	ENSG00000020256
Targets	0.15696	ENSG00000165359
Targets	0.16664	ENSG00000116580
Targets	0.02591	ENSG00000198793
Targets	0.12425	ENSG00000139182
Targets	-0.00409	ENSG00000185236
Targets	-0.08848	ENSG00000115310
Targets	-0.03197	ENSG00000127870
Targets	0.12987	ENSG00000128917
Targets	0.15053	ENSG00000065526
Targets	0.10979	ENSG00000130827
Targets	0.07053	ENSG00000143862
Targets	-0.01222	ENSG00000106537
Targets	0.00907	ENSG00000100906
Targets	-0.05584	ENSG00000101474
Targets	0.14019	ENSG00000110514
Targets	0.09196	ENSG00000147364
Targets	-0.04795	ENSG00000164695
Targets	-0.01558	ENSG00000175348
Targets	0.13593	ENSG00000172071
Targets	0.15763	ENSG00000052841
