group	corr_value	gene_id
Targets	0.05372	ENSG00000213445
Targets	-0.01092	ENSG00000175197
Targets	0.07196	ENSG00000204469
Targets	-0.06698	ENSG00000101940
Targets	-0.07697	ENSG00000126458
Targets	-0.02711	ENSG00000105707
Targets	-0.06393	ENSG00000126368
Targets	-0.10997	ENSG00000183087
Targets	0.00607	ENSG00000187193
Targets	-0.06638	ENSG00000160799
Targets	0.11342	ENSG00000147251
Targets	0.00225	ENSG00000163932
Targets	-0.11913	ENSG00000143545
Targets	-0.01431	ENSG00000197933
Targets	0.20494	ENSG00000122257
Targets	0.15289	ENSG00000136997
Targets	-0.09591	ENSG00000132323
Targets	-0.02591	ENSG00000102226
Targets	0.01594	ENSG00000123358
Targets	-0.09199	ENSG00000117318
Targets	0.01775	ENSG00000027697
Targets	-0.02341	ENSG00000157873
Targets	-0.04137	ENSG00000125503
Targets	-0.16523	ENSG00000070047
Targets	0.19269	ENSG00000174718
Targets	-0.04736	ENSG00000174938
Targets	-0.13629	ENSG00000116871
Targets	-0.04858	ENSG00000114315
Targets	0.11636	ENSG00000008869
Targets	-0.05078	ENSG00000120129
Targets	0.03025	ENSG00000156983
Targets	-0.03582	ENSG00000065154
Targets	-0.07927	ENSG00000008405
Targets	-0.06048	ENSG00000079432
Targets	-0.10448	ENSG00000125968
Targets	-0.04551	ENSG00000157613
Targets	0.03004	ENSG00000168216
Targets	0.0923	ENSG00000162736
Targets	-0.05407	ENSG00000172216
Targets	0.06844	ENSG00000116266
Targets	-0.05417	ENSG00000196422
Targets	0.06053	ENSG00000060069
Targets	0.02101	ENSG00000177728
Targets	-0.15308	ENSG00000131669
Targets	-0.014	ENSG00000115738
Targets	-0.09997	ENSG00000119139
Targets	0.01878	ENSG00000169242
Targets	-0.0883	ENSG00000175130
Targets	-0.00962	ENSG00000072182
Targets	-0.13173	ENSG00000177303
Targets	0.06736	ENSG00000100109
Targets	-0.16027	ENSG00000142655
Targets	-0.19156	ENSG00000083857
Targets	-0.07317	ENSG00000141582
Targets	-0.11815	ENSG00000126705
Targets	-0.1277	ENSG00000179431
Targets	-0.1242	ENSG00000120075
Targets	0.10892	ENSG00000121104
Targets	-0.06781	ENSG00000168758
Targets	-0.08114	ENSG00000167716
Targets	0.0299	ENSG00000160271
Targets	-0.01198	ENSG00000072071
Targets	0.20599	ENSG00000152804
Targets	-0.05025	ENSG00000175556
Targets	0.01794	ENSG00000020256
Targets	0.1883	ENSG00000165359
Targets	0.18647	ENSG00000116580
Targets	0.07391	ENSG00000198793
Targets	0.10354	ENSG00000139182
Targets	-0.06877	ENSG00000185236
Targets	-0.20629	ENSG00000115310
Targets	-0.0228	ENSG00000127870
Targets	0.03095	ENSG00000128917
Targets	0.09894	ENSG00000065526
Targets	-0.05424	ENSG00000130827
Targets	-0.03087	ENSG00000143862
Targets	0.00364	ENSG00000106537
Targets	0.13358	ENSG00000100906
Targets	-0.18338	ENSG00000101474
Targets	0.03774	ENSG00000110514
Targets	0.03954	ENSG00000147364
Targets	-0.00209	ENSG00000164695
Targets	-0.14877	ENSG00000175348
Targets	0.06346	ENSG00000172071
Targets	0.16684	ENSG00000052841
Targets	-0.10254	ENSG00000148296
Targets	-0.00315	ENSG00000188313
Targets	0.17271	ENSG00000105856
Targets	-0.06866	ENSG00000102100
Targets	-0.06359	ENSG00000162909
Targets	-0.06213	ENSG00000043355
Targets	-0.20924	ENSG00000132002
Targets	-0.09426	ENSG00000103326
Targets	-0.11092	ENSG00000109099
Targets	-0.05368	ENSG00000092820
Targets	-0.03145	ENSG00000163162
Targets	0.12031	ENSG00000119715
Targets	-0.01889	ENSG00000102804
Targets	0.14172	ENSG00000112812
Targets	0.11571	ENSG00000162298
Targets	0.07272	ENSG00000134049
Targets	0.04011	ENSG00000166831
Targets	-0.08688	ENSG00000101230
Targets	-0.04167	ENSG00000034053
Targets	0.10923	ENSG00000117616
Targets	0.08257	ENSG00000147050
Targets	-0.01144	ENSG00000104763
Targets	-0.1486	ENSG00000177606
Targets	0.15882	ENSG00000120616
Targets	-0.09477	ENSG00000149177
Targets	-0.07062	ENSG00000182087
Targets	0.12086	ENSG00000135269
Targets	0.04567	ENSG00000123636
Targets	-0.11988	ENSG00000167110
Targets	-0.07007	ENSG00000108262
Targets	0.1526	ENSG00000254087
Targets	-0.00128	ENSG00000125304
Targets	0.02001	ENSG00000109046
Targets	-0.17153	ENSG00000050405
Targets	-0.03312	ENSG00000131435
Targets	0.09671	ENSG00000146757
Targets	0.09639	ENSG00000127561
Targets	0.0118	ENSG00000120738
Targets	0.07199	ENSG00000137509
Targets	-0.00739	ENSG00000112787
Targets	-0.09397	ENSG00000125170
Targets	0.06399	ENSG00000155090
