group	corr_value	gene_id
Targets	-0.03615	ENSG00000213445
Targets	0.06959	ENSG00000175197
Targets	0.09624	ENSG00000204469
Targets	0.11324	ENSG00000101940
Targets	-0.09714	ENSG00000126458
Targets	0.07648	ENSG00000105707
Targets	-0.01631	ENSG00000126368
Targets	-0.01345	ENSG00000183087
Targets	-0.02257	ENSG00000187193
Targets	-0.01082	ENSG00000160799
Targets	0.03707	ENSG00000147251
Targets	-0.19038	ENSG00000163932
Targets	-0.11828	ENSG00000143545
Targets	0.01717	ENSG00000197933
Targets	0.07853	ENSG00000122257
Targets	0.07239	ENSG00000136997
Targets	-0.04008	ENSG00000132323
Targets	0.08041	ENSG00000102226
Targets	0.02484	ENSG00000123358
Targets	0.04794	ENSG00000117318
Targets	-0.12963	ENSG00000027697
Targets	-0.11094	ENSG00000157873
Targets	0.00261	ENSG00000125503
Targets	0.03335	ENSG00000070047
Targets	0.03517	ENSG00000174718
Targets	0.11369	ENSG00000174938
Targets	-0.01141	ENSG00000116871
Targets	-0.11035	ENSG00000114315
Targets	0.15666	ENSG00000008869
Targets	-0.0133	ENSG00000120129
Targets	0.04854	ENSG00000156983
Targets	-0.09047	ENSG00000065154
Targets	0.03911	ENSG00000008405
Targets	0.09338	ENSG00000079432
Targets	-0.00711	ENSG00000125968
Targets	-0.0176	ENSG00000157613
Targets	0.01779	ENSG00000168216
Targets	0.08296	ENSG00000162736
Targets	-0.05371	ENSG00000172216
Targets	-0.09053	ENSG00000116266
Targets	0.03314	ENSG00000196422
Targets	0.0551	ENSG00000060069
Targets	0.13556	ENSG00000177728
Targets	-0.05453	ENSG00000131669
Targets	0.09041	ENSG00000115738
Targets	-0.16816	ENSG00000119139
Targets	0.00129	ENSG00000169242
Targets	0.03291	ENSG00000175130
Targets	0.182	ENSG00000072182
Targets	0.00305	ENSG00000177303
Targets	-0.06251	ENSG00000100109
Targets	0.01173	ENSG00000142655
Targets	-0.12654	ENSG00000083857
Targets	0.05717	ENSG00000141582
Targets	-0.00558	ENSG00000126705
Targets	-0.04043	ENSG00000179431
Targets	-0.03156	ENSG00000120075
Targets	0.08877	ENSG00000121104
Targets	0.05335	ENSG00000168758
Targets	0.02138	ENSG00000167716
Targets	0.10952	ENSG00000160271
Targets	0.1967	ENSG00000072071
Targets	-0.03737	ENSG00000152804
Targets	-0.11137	ENSG00000175556
Targets	0.10714	ENSG00000020256
Targets	0.12969	ENSG00000165359
Targets	0.16268	ENSG00000116580
Targets	0.0989	ENSG00000198793
Targets	0.12397	ENSG00000139182
Targets	0.0747	ENSG00000185236
Targets	-0.10861	ENSG00000115310
Targets	-0.12658	ENSG00000127870
Targets	0.06608	ENSG00000128917
Targets	0.11229	ENSG00000065526
Targets	0.08188	ENSG00000130827
Targets	0.0333	ENSG00000143862
Targets	0.03871	ENSG00000106537
Targets	-0.04295	ENSG00000100906
Targets	-0.01987	ENSG00000101474
Targets	0.04133	ENSG00000110514
Targets	0.10301	ENSG00000147364
Targets	-0.01161	ENSG00000164695
Targets	-0.08866	ENSG00000175348
Targets	0.06839	ENSG00000172071
Targets	0.05935	ENSG00000052841
Targets	-0.01928	ENSG00000148296
Targets	-0.13859	ENSG00000188313
Targets	0.07418	ENSG00000105856
Targets	-0.0013	ENSG00000102100
Targets	-0.13227	ENSG00000162909
Targets	0.08644	ENSG00000043355
Targets	-0.14927	ENSG00000132002
Targets	0.00605	ENSG00000103326
Targets	-0.0571	ENSG00000109099
Targets	-0.18143	ENSG00000092820
Targets	-0.13149	ENSG00000163162
Targets	0.18563	ENSG00000119715
Targets	-0.04538	ENSG00000102804
Targets	0.06512	ENSG00000112812
Targets	0.02744	ENSG00000162298
Targets	0.10562	ENSG00000134049
Targets	0.07799	ENSG00000166831
Targets	-0.02297	ENSG00000101230
Targets	0.115	ENSG00000034053
Targets	0.12628	ENSG00000117616
Targets	0.08361	ENSG00000147050
Targets	-0.04386	ENSG00000104763
Targets	-0.06006	ENSG00000177606
Targets	0.08776	ENSG00000120616
Targets	-0.17746	ENSG00000149177
Targets	0.06598	ENSG00000182087
Targets	-0.06642	ENSG00000135269
Targets	0.01708	ENSG00000123636
Targets	0.00783	ENSG00000167110
Targets	-0.00817	ENSG00000108262
Targets	-0.03127	ENSG00000254087
Targets	-0.05715	ENSG00000125304
Targets	0.09341	ENSG00000109046
Targets	-0.18937	ENSG00000050405
Targets	-0.05154	ENSG00000131435
Targets	0.09592	ENSG00000146757
Targets	0.20485	ENSG00000127561
Targets	-0.06596	ENSG00000120738
Targets	0.05395	ENSG00000137509
Targets	0.06684	ENSG00000112787
Targets	-0.03333	ENSG00000125170
Targets	0.01106	ENSG00000155090
Targets	0.10378	ENSG00000172432
Targets	-0.01335	ENSG00000011566
Targets	0.04926	ENSG00000113583
Targets	-0.00853	ENSG00000130821
Targets	-0.07224	ENSG00000144566
Targets	-0.05956	ENSG00000168575
Targets	-0.0529	ENSG00000001084
Targets	-0.03362	ENSG00000076706
Targets	-0.18594	ENSG00000158747
Targets	-0.06163	ENSG00000134363
Targets	-0.05592	ENSG00000196588
Targets	0.14793	ENSG00000163875
Targets	0.04559	ENSG00000108557
Targets	-0.04953	ENSG00000171603
Targets	-0.04399	ENSG00000144579
Targets	0.04358	ENSG00000100425
Targets	-0.15763	ENSG00000164251
Targets	-0.09236	ENSG00000130779
Targets	-0.02507	ENSG00000011304
Targets	-0.00912	ENSG00000134326
Targets	0.10561	ENSG00000068885
Targets	-0.06191	ENSG00000163527
Targets	0.03602	ENSG00000034677
Targets	0.02252	ENSG00000101665
Targets	0.0336	ENSG00000181027
Targets	-0.08622	ENSG00000197081
Targets	-0.03323	ENSG00000102996
Targets	0.06957	ENSG00000154080
Targets	-0.01932	ENSG00000111907
Targets	0.04368	ENSG00000160014
Targets	-0.06886	ENSG00000009335
Targets	-0.12284	ENSG00000102554
Targets	-0.052	ENSG00000196937
Targets	0.08048	ENSG00000068078
Targets	0.02207	ENSG00000139292
Targets	0.05377	ENSG00000131873
