group	corr_value	gene_id
Targets	-0.14973	ENSG00000213445
Targets	0.12039	ENSG00000175197
Targets	0.11049	ENSG00000204469
Targets	0.0401	ENSG00000101940
Targets	-0.32877	ENSG00000126458
Targets	0.11188	ENSG00000105707
Targets	-0.00605	ENSG00000126368
Targets	-0.04751	ENSG00000183087
Targets	-0.086	ENSG00000187193
Targets	-0.04424	ENSG00000160799
Targets	0.10165	ENSG00000147251
Targets	-0.14212	ENSG00000163932
Targets	-0.26134	ENSG00000143545
Targets	-0.05565	ENSG00000197933
Targets	0.15231	ENSG00000122257
Targets	0.05066	ENSG00000136997
Targets	0.08915	ENSG00000132323
Targets	0.09663	ENSG00000102226
Targets	0.09588	ENSG00000123358
Targets	-0.02512	ENSG00000117318
Targets	-0.17954	ENSG00000027697
Targets	0.02056	ENSG00000157873
Targets	0.07978	ENSG00000125503
Targets	0.1745	ENSG00000070047
Targets	0.02193	ENSG00000174718
Targets	0.09708	ENSG00000174938
Targets	-0.08939	ENSG00000116871
Targets	-0.14154	ENSG00000114315
Targets	0.22237	ENSG00000008869
Targets	-0.11337	ENSG00000120129
Targets	0.06128	ENSG00000156983
Targets	-0.09977	ENSG00000065154
Targets	0.11469	ENSG00000008405
Targets	0.11022	ENSG00000079432
Targets	-0.04702	ENSG00000125968
Targets	-0.10853	ENSG00000157613
Targets	0.07202	ENSG00000168216
Targets	0.00191	ENSG00000162736
Targets	-0.12756	ENSG00000172216
Targets	-0.14815	ENSG00000116266
Targets	-0.04009	ENSG00000196422
Targets	0.13063	ENSG00000060069
Targets	0.25468	ENSG00000177728
Targets	-0.17731	ENSG00000131669
Targets	0.13412	ENSG00000115738
Targets	-0.07355	ENSG00000119139
Targets	-0.12456	ENSG00000169242
Targets	0.1617	ENSG00000175130
Targets	0.08754	ENSG00000072182
Targets	0.01688	ENSG00000177303
Targets	-0.02679	ENSG00000100109
Targets	0.0645	ENSG00000142655
Targets	-0.17376	ENSG00000083857
Targets	0.07898	ENSG00000141582
Targets	0.02906	ENSG00000126705
Targets	-0.07307	ENSG00000179431
Targets	-0.02148	ENSG00000120075
Targets	0.21445	ENSG00000121104
Targets	0.10317	ENSG00000168758
Targets	0.0288	ENSG00000167716
Targets	0.17547	ENSG00000160271
Targets	0.09115	ENSG00000072071
Targets	-0.02484	ENSG00000152804
Targets	-0.05662	ENSG00000175556
Targets	-0.03774	ENSG00000020256
Targets	0.14753	ENSG00000165359
Targets	0.28536	ENSG00000116580
Targets	0.18409	ENSG00000198793
Targets	0.21217	ENSG00000139182
Targets	0.15039	ENSG00000185236
Targets	-0.19953	ENSG00000115310
Targets	-0.07223	ENSG00000127870
Targets	0.29436	ENSG00000128917
Targets	0.24475	ENSG00000065526
Targets	0.07382	ENSG00000130827
Targets	0.03022	ENSG00000143862
Targets	0.02697	ENSG00000106537
Targets	-0.18019	ENSG00000100906
Targets	0.01062	ENSG00000101474
Targets	0.19287	ENSG00000110514
Targets	0.27248	ENSG00000147364
Targets	0.03549	ENSG00000164695
Targets	-0.11314	ENSG00000175348
Targets	0.20042	ENSG00000172071
Targets	0.15916	ENSG00000052841
Targets	0.05594	ENSG00000148296
Targets	-0.15246	ENSG00000188313
Targets	0.01962	ENSG00000105856
Targets	-0.11541	ENSG00000102100
Targets	-0.21192	ENSG00000162909
Targets	0.06277	ENSG00000043355
Targets	-0.15533	ENSG00000132002
Targets	0.08047	ENSG00000103326
Targets	-0.22891	ENSG00000109099
Targets	-0.22792	ENSG00000092820
Targets	-0.18145	ENSG00000163162
Targets	0.284	ENSG00000119715
Targets	-0.12593	ENSG00000102804
Targets	0.04243	ENSG00000112812
Targets	0.10873	ENSG00000162298
Targets	0.17554	ENSG00000134049
Targets	-0.10588	ENSG00000166831
Targets	-0.0506	ENSG00000101230
Targets	0.12966	ENSG00000034053
Targets	0.22772	ENSG00000117616
Targets	0.11953	ENSG00000147050
Targets	-0.0483	ENSG00000104763
Targets	0.01602	ENSG00000177606
Targets	0.10155	ENSG00000120616
Targets	-0.20935	ENSG00000149177
Targets	0.20965	ENSG00000182087
Targets	-0.03725	ENSG00000135269
Targets	0.17768	ENSG00000123636
Targets	-0.02439	ENSG00000167110
Targets	0.03595	ENSG00000108262
Targets	-0.12557	ENSG00000254087
Targets	-0.07198	ENSG00000125304
Targets	0.17727	ENSG00000109046
Targets	-0.27195	ENSG00000050405
Targets	-0.16372	ENSG00000131435
Targets	0.15368	ENSG00000146757
Targets	0.13098	ENSG00000127561
Targets	-0.18571	ENSG00000120738
Targets	-0.0552	ENSG00000137509
Targets	0.19855	ENSG00000112787
Targets	-0.12156	ENSG00000125170
Targets	-0.09473	ENSG00000155090
Targets	0.18262	ENSG00000172432
Targets	-0.00994	ENSG00000011566
Targets	-0.08923	ENSG00000113583
Targets	-0.10882	ENSG00000130821
Targets	-0.169	ENSG00000144566
Targets	-0.07561	ENSG00000168575
Targets	0.03133	ENSG00000001084
Targets	-0.02674	ENSG00000076706
Targets	-0.26458	ENSG00000158747
Targets	-0.01903	ENSG00000134363
Targets	-0.06724	ENSG00000196588
Targets	0.16316	ENSG00000163875
Targets	0.04884	ENSG00000108557
Targets	-0.02725	ENSG00000171603
Targets	-0.10839	ENSG00000144579
Targets	0.15115	ENSG00000100425
Targets	-0.20852	ENSG00000164251
Targets	-0.21157	ENSG00000130779
Targets	0.01014	ENSG00000011304
Targets	0.00892	ENSG00000134326
Targets	0.19688	ENSG00000068885
Targets	-0.04932	ENSG00000163527
Targets	0.06451	ENSG00000034677
Targets	0.05999	ENSG00000101665
Targets	0.08989	ENSG00000181027
Targets	0.02722	ENSG00000197081
Targets	-0.14238	ENSG00000102996
Targets	0.26565	ENSG00000154080
Targets	-0.10305	ENSG00000111907
Targets	0.06057	ENSG00000160014
Targets	-0.09758	ENSG00000009335
Targets	-0.17588	ENSG00000102554
Targets	-0.0698	ENSG00000196937
Targets	0.00849	ENSG00000068078
Targets	0.07338	ENSG00000139292
Targets	-0.0407	ENSG00000131873
Targets	0.18114	ENSG00000008130
Targets	0.03422	ENSG00000159200
Targets	-0.1819	ENSG00000148400
Targets	-0.05808	ENSG00000196792
Targets	-0.23596	ENSG00000101150
Targets	0.15322	ENSG00000156650
Targets	0.18468	ENSG00000170448
Targets	-0.14895	ENSG00000131165
Targets	-0.14682	ENSG00000171867
Targets	0.07014	ENSG00000164305
Targets	0.06392	ENSG00000119541
Targets	0.04076	ENSG00000143126
Targets	-0.07666	ENSG00000240849
Targets	0.04566	ENSG00000187164
Targets	0.15885	ENSG00000085721
Targets	0.08757	ENSG00000184916
Targets	0.00607	ENSG00000012660
Targets	-0.16365	ENSG00000054598
Targets	0.15562	ENSG00000135097
Targets	0.14042	ENSG00000133872
Targets	0.03214	ENSG00000198915
Targets	-0.17728	ENSG00000189067
Targets	-0.27083	ENSG00000198959
Targets	0.01302	ENSG00000127948
Targets	-0.0208	ENSG00000164830
Targets	-0.04128	ENSG00000044574
Targets	0.08597	ENSG00000165802
Targets	0.09638	ENSG00000130449
Targets	-0.08021	ENSG00000161526
Targets	-0.13121	ENSG00000154734
Targets	0.01265	ENSG00000108639
Targets	-0.19986	ENSG00000186834
Targets	-0.24522	ENSG00000162734
Targets	-0.02137	ENSG00000006453
Targets	0.0421	ENSG00000115806
Targets	-0.00019	ENSG00000205213
Targets	0.00471	ENSG00000038427
Targets	0.08643	ENSG00000165355
Targets	-0.0881	ENSG00000184937
