group	corr_value	gene_id
Targets	-0.14719	ENSG00000213445
Targets	-0.05491	ENSG00000175197
Targets	0.06972	ENSG00000204469
Targets	0.1136	ENSG00000101940
Targets	-0.27755	ENSG00000126458
Targets	0.05613	ENSG00000105707
Targets	-0.05618	ENSG00000126368
Targets	-0.08742	ENSG00000183087
Targets	-0.14093	ENSG00000187193
Targets	-0.06071	ENSG00000160799
Targets	0.11256	ENSG00000147251
Targets	-0.02538	ENSG00000163932
Targets	-0.15588	ENSG00000143545
Targets	0.153	ENSG00000197933
Targets	0.40172	ENSG00000122257
Targets	-0.04799	ENSG00000136997
Targets	0.16132	ENSG00000132323
Targets	0.08304	ENSG00000102226
Targets	0.07085	ENSG00000123358
Targets	0.03368	ENSG00000117318
Targets	-0.03831	ENSG00000027697
Targets	0.03055	ENSG00000157873
Targets	0.10097	ENSG00000125503
Targets	0.10402	ENSG00000070047
Targets	0.2631	ENSG00000174718
Targets	0.09719	ENSG00000174938
Targets	-0.25059	ENSG00000116871
Targets	-0.02311	ENSG00000114315
Targets	0.32014	ENSG00000008869
Targets	-0.16029	ENSG00000120129
Targets	0.10199	ENSG00000156983
Targets	-0.11586	ENSG00000065154
Targets	0.08166	ENSG00000008405
Targets	0.11338	ENSG00000079432
Targets	0.02246	ENSG00000125968
Targets	-0.09557	ENSG00000157613
Targets	0.12092	ENSG00000168216
Targets	-0.05991	ENSG00000162736
Targets	-0.1164	ENSG00000172216
Targets	0.1895	ENSG00000116266
Targets	0.10815	ENSG00000196422
Targets	0.06538	ENSG00000060069
Targets	0.27796	ENSG00000177728
Targets	-0.0489	ENSG00000131669
Targets	0.22065	ENSG00000115738
Targets	-0.02391	ENSG00000119139
Targets	0.04875	ENSG00000169242
Targets	0.11928	ENSG00000175130
Targets	0.15762	ENSG00000072182
Targets	0.10187	ENSG00000177303
Targets	-0.0439	ENSG00000100109
Targets	-0.11822	ENSG00000142655
Targets	-0.04921	ENSG00000083857
Targets	0.11499	ENSG00000141582
Targets	0.0533	ENSG00000126705
Targets	-0.1235	ENSG00000179431
Targets	-0.04283	ENSG00000120075
Targets	0.08282	ENSG00000121104
Targets	0.07982	ENSG00000168758
Targets	0.0171	ENSG00000167716
Targets	0.32109	ENSG00000160271
Targets	0.23184	ENSG00000072071
Targets	-0.08678	ENSG00000152804
Targets	0.05256	ENSG00000175556
Targets	0.06124	ENSG00000020256
Targets	0.2796	ENSG00000165359
Targets	0.36866	ENSG00000116580
Targets	0.10707	ENSG00000198793
Targets	0.21509	ENSG00000139182
Targets	0.07201	ENSG00000185236
Targets	-0.20349	ENSG00000115310
Targets	0.04115	ENSG00000127870
Targets	0.11128	ENSG00000128917
Targets	0.24187	ENSG00000065526
Targets	0.26242	ENSG00000130827
Targets	0.09963	ENSG00000143862
Targets	0.06231	ENSG00000106537
Targets	-0.05392	ENSG00000100906
Targets	-0.1211	ENSG00000101474
Targets	0.27629	ENSG00000110514
Targets	0.19539	ENSG00000147364
Targets	0.05078	ENSG00000164695
Targets	-0.006	ENSG00000175348
Targets	0.15317	ENSG00000172071
Targets	0.35109	ENSG00000052841
Targets	0.15831	ENSG00000148296
Targets	-0.06556	ENSG00000188313
Targets	0.10971	ENSG00000105856
Targets	-0.04522	ENSG00000102100
Targets	-0.18279	ENSG00000162909
Targets	0.1105	ENSG00000043355
Targets	-0.1391	ENSG00000132002
Targets	0.16016	ENSG00000103326
Targets	-0.16332	ENSG00000109099
Targets	-0.18028	ENSG00000092820
Targets	-0.00444	ENSG00000163162
Targets	0.15278	ENSG00000119715
Targets	0.04999	ENSG00000102804
Targets	0.0688	ENSG00000112812
Targets	0.11805	ENSG00000162298
Targets	0.07596	ENSG00000134049
Targets	-0.04076	ENSG00000166831
Targets	-0.04234	ENSG00000101230
Targets	0.02324	ENSG00000034053
Targets	0.38873	ENSG00000117616
Targets	0.24764	ENSG00000147050
Targets	-0.0142	ENSG00000104763
Targets	-0.0937	ENSG00000177606
Targets	0.29602	ENSG00000120616
Targets	-0.1273	ENSG00000149177
Targets	0.16288	ENSG00000182087
Targets	-0.0996	ENSG00000135269
Targets	0.38211	ENSG00000123636
Targets	0.02771	ENSG00000167110
Targets	0.06103	ENSG00000108262
Targets	-0.08251	ENSG00000254087
Targets	0.0623	ENSG00000125304
Targets	0.18341	ENSG00000109046
Targets	-0.12355	ENSG00000050405
Targets	-0.11437	ENSG00000131435
Targets	0.28735	ENSG00000146757
Targets	0.02594	ENSG00000127561
Targets	-0.06081	ENSG00000120738
Targets	-0.11906	ENSG00000137509
Targets	0.23774	ENSG00000112787
Targets	0.04567	ENSG00000125170
Targets	0.04832	ENSG00000155090
Targets	0.03372	ENSG00000172432
Targets	0.12156	ENSG00000011566
Targets	-0.0297	ENSG00000113583
Targets	-0.03419	ENSG00000130821
Targets	0.03945	ENSG00000144566
Targets	-0.0767	ENSG00000168575
Targets	0.18986	ENSG00000001084
Targets	-0.10955	ENSG00000076706
Targets	-0.11378	ENSG00000158747
Targets	-0.14321	ENSG00000134363
Targets	-0.07241	ENSG00000196588
Targets	0.1393	ENSG00000163875
Targets	0.07506	ENSG00000108557
Targets	-0.13323	ENSG00000171603
Targets	0.11635	ENSG00000144579
Targets	0.22868	ENSG00000100425
Targets	-0.06155	ENSG00000164251
Targets	-0.04016	ENSG00000130779
Targets	0.04974	ENSG00000011304
Targets	0.10063	ENSG00000134326
Targets	0.38953	ENSG00000068885
Targets	0.09493	ENSG00000163527
Targets	0.15835	ENSG00000034677
Targets	0.01795	ENSG00000101665
Targets	0.07311	ENSG00000181027
Targets	-0.03101	ENSG00000197081
Targets	-0.01902	ENSG00000102996
Targets	0.02815	ENSG00000154080
Targets	0.02109	ENSG00000111907
Targets	-0.12896	ENSG00000160014
Targets	-0.01261	ENSG00000009335
Targets	-0.01647	ENSG00000102554
Targets	-0.12021	ENSG00000196937
Targets	0.10353	ENSG00000068078
Targets	0.19515	ENSG00000139292
Targets	0.00689	ENSG00000131873
Targets	0.11853	ENSG00000008130
Targets	-0.06216	ENSG00000159200
Targets	0.03545	ENSG00000148400
Targets	0.13675	ENSG00000196792
Targets	-0.11616	ENSG00000101150
Targets	0.30983	ENSG00000156650
Targets	0.24613	ENSG00000170448
Targets	-0.08753	ENSG00000131165
Targets	-0.20488	ENSG00000171867
Targets	0.08611	ENSG00000164305
Targets	0.1239	ENSG00000119541
Targets	0.12521	ENSG00000143126
Targets	-0.06267	ENSG00000240849
Targets	0.12867	ENSG00000187164
Targets	0.26925	ENSG00000085721
Targets	0.15075	ENSG00000184916
Targets	-0.01347	ENSG00000012660
Targets	-0.12487	ENSG00000054598
Targets	0.16951	ENSG00000135097
Targets	0.12996	ENSG00000133872
Targets	0.04095	ENSG00000198915
Targets	-0.12475	ENSG00000189067
Targets	-0.27614	ENSG00000198959
Targets	0.02355	ENSG00000127948
Targets	0.16747	ENSG00000164830
Targets	-0.18356	ENSG00000044574
Targets	0.11939	ENSG00000165802
Targets	0.14272	ENSG00000130449
Targets	0.02251	ENSG00000161526
Targets	-0.15987	ENSG00000154734
Targets	-0.02162	ENSG00000108639
Targets	0.04309	ENSG00000186834
Targets	-0.29429	ENSG00000162734
Targets	-0.0313	ENSG00000006453
Targets	-0.08932	ENSG00000115806
Targets	0.03137	ENSG00000205213
Targets	-0.06518	ENSG00000038427
Targets	0.11564	ENSG00000165355
Targets	-0.06116	ENSG00000184937
Targets	0.24139	ENSG00000116731
Targets	0.20071	ENSG00000112874
Targets	0.02718	ENSG00000157240
Targets	0.1706	ENSG00000198435
Targets	0.05183	ENSG00000066629
Targets	0.05586	ENSG00000173334
Targets	-0.04873	ENSG00000111737
Targets	0.10272	ENSG00000136842
Targets	0.14692	ENSG00000181751
Targets	0.17027	ENSG00000198814
Targets	0.24226	ENSG00000153339
Targets	-0.12598	ENSG00000112033
Targets	0.20032	ENSG00000141551
Targets	0.44267	ENSG00000221978
Targets	-0.11383	ENSG00000129911
Targets	0.05784	ENSG00000100241
Targets	0.22895	ENSG00000158321
Targets	0.10047	ENSG00000157404
Targets	0.04218	ENSG00000004799
Targets	-0.09968	ENSG00000241839
Targets	0.18145	ENSG00000108669
Targets	-0.10255	ENSG00000155760
Targets	-0.14197	ENSG00000130340
Targets	-0.00758	ENSG00000082074
Targets	0.13185	ENSG00000091129
Targets	0.41582	ENSG00000173064
Targets	0.11938	ENSG00000110048
Targets	0.01286	ENSG00000134755
Targets	-0.05984	ENSG00000046604
Targets	-0.15271	ENSG00000105976
Targets	0.21688	ENSG00000130749
Targets	0.25993	ENSG00000110075
Targets	-0.06134	ENSG00000181104
Targets	0.37017	ENSG00000146830
Targets	-0.06773	ENSG00000125347
Targets	-0.07172	ENSG00000184384
Targets	-0.11686	ENSG00000134910
Targets	0.20571	ENSG00000197037
Targets	0.23744	ENSG00000140332
Targets	0.25019	ENSG00000204519
Targets	0.06102	ENSG00000121481
Targets	0.27616	ENSG00000166454
Targets	-0.01058	ENSG00000101670
Targets	0.228	ENSG00000146083
Targets	-0.14669	ENSG00000130164
Targets	0.29086	ENSG00000084676
Targets	0.12057	ENSG00000184545
Targets	0.33344	ENSG00000139718
Targets	0.37944	ENSG00000119707
Targets	0.19533	ENSG00000074755
Targets	0.0573	ENSG00000157107
Targets	0.03902	ENSG00000176597
Targets	-0.21319	ENSG00000105971
Targets	0.10103	ENSG00000106078
Targets	-0.02841	ENSG00000011007
Targets	0.03648	ENSG00000155304
Targets	-0.03085	ENSG00000185950
Targets	0.1478	ENSG00000071564
Targets	-0.15484	ENSG00000163347
Targets	-0.04895	ENSG00000065809
Targets	0.11199	ENSG00000069020
Targets	0.04708	ENSG00000122574
Targets	-0.11067	ENSG00000165915
Targets	-0.00699	ENSG00000121281
Targets	0.02811	ENSG00000130224
Targets	-0.0563	ENSG00000005020
Targets	0.09535	ENSG00000181744
Targets	0.06429	ENSG00000106299
Targets	0.11733	ENSG00000069424
Targets	0.12236	ENSG00000183723
Targets	0.19825	ENSG00000042429
Targets	0.14969	ENSG00000142599
Targets	-0.0485	ENSG00000132294
Targets	0.34629	ENSG00000158805
Targets	0.16583	ENSG00000141644
Targets	-0.20464	ENSG00000143641
Targets	0.2568	ENSG00000005339
Targets	0.13186	ENSG00000118200
Targets	0.07886	ENSG00000176490
Targets	0.05982	ENSG00000182771
Targets	0.09942	ENSG00000178538
Targets	0.13884	ENSG00000168743
Targets	-0.10911	ENSG00000185551
Targets	-0.04712	ENSG00000005893
Targets	0.01078	ENSG00000197122
Targets	0.19467	ENSG00000143093
Targets	0.15858	ENSG00000166086
Targets	0.07995	ENSG00000110881
Targets	0.01526	ENSG00000011275
Targets	0.09723	ENSG00000116675
Targets	-0.18123	ENSG00000086062
Targets	0.03798	ENSG00000183864
Targets	-0.15462	ENSG00000198363
Targets	0.08329	ENSG00000143384
Targets	-0.01861	ENSG00000088256
Targets	-0.00451	ENSG00000140391
Targets	0.11066	ENSG00000102158
Targets	0.09932	ENSG00000166734
Targets	-0.11474	ENSG00000072786
Targets	0.24336	ENSG00000183495
Targets	0.08314	ENSG00000184602
Targets	0.1185	ENSG00000084444
Targets	-0.05173	ENSG00000132824
Targets	-0.10076	ENSG00000140941
Targets	0.08332	ENSG00000164402
Targets	0.22981	ENSG00000204256
Targets	0.20331	ENSG00000130559
Targets	0.04451	ENSG00000164181
Targets	0.12891	ENSG00000179152
