group	corr_value	gene_id
Targets	0.07765	ENSG00000213445
Targets	0.09932	ENSG00000175197
Targets	0.14996	ENSG00000204469
Targets	0.02751	ENSG00000101940
Targets	-0.32438	ENSG00000126458
Targets	0.06456	ENSG00000105707
Targets	0.03562	ENSG00000126368
Targets	-0.06446	ENSG00000183087
Targets	-0.03546	ENSG00000187193
Targets	0.07598	ENSG00000160799
Targets	0.19329	ENSG00000147251
Targets	0.00041	ENSG00000163932
Targets	-0.18434	ENSG00000143545
Targets	-0.07227	ENSG00000197933
Targets	0.17695	ENSG00000122257
Targets	0.09254	ENSG00000136997
Targets	0.1353	ENSG00000132323
Targets	0.15143	ENSG00000102226
Targets	0.10629	ENSG00000123358
Targets	-0.09817	ENSG00000117318
Targets	-0.28106	ENSG00000027697
Targets	0.15788	ENSG00000157873
Targets	0.12917	ENSG00000125503
Targets	0.22561	ENSG00000070047
Targets	0.0922	ENSG00000174718
Targets	-0.04283	ENSG00000174938
Targets	-0.0371	ENSG00000116871
Targets	-0.15176	ENSG00000114315
Targets	0.33459	ENSG00000008869
Targets	-0.21697	ENSG00000120129
Targets	0.16194	ENSG00000156983
Targets	-0.08368	ENSG00000065154
Targets	0.02074	ENSG00000008405
Targets	0.17007	ENSG00000079432
Targets	-0.15601	ENSG00000125968
Targets	-0.11032	ENSG00000157613
Targets	-0.06722	ENSG00000168216
Targets	-0.05889	ENSG00000162736
Targets	-0.16842	ENSG00000172216
Targets	-0.04032	ENSG00000116266
Targets	-0.0443	ENSG00000196422
Targets	0.15338	ENSG00000060069
Targets	0.20755	ENSG00000177728
Targets	-0.20877	ENSG00000131669
Targets	0.00083	ENSG00000115738
Targets	-0.15004	ENSG00000119139
Targets	-0.16572	ENSG00000169242
Targets	0.04747	ENSG00000175130
Targets	0.16821	ENSG00000072182
Targets	-0.01188	ENSG00000177303
Targets	0.20384	ENSG00000100109
Targets	0.04743	ENSG00000142655
Targets	-0.15769	ENSG00000083857
Targets	0.15344	ENSG00000141582
Targets	0.01649	ENSG00000126705
Targets	-0.03491	ENSG00000179431
Targets	-0.01035	ENSG00000120075
Targets	0.20941	ENSG00000121104
Targets	0.08247	ENSG00000168758
Targets	0.18307	ENSG00000167716
Targets	0.19932	ENSG00000160271
Targets	0.14089	ENSG00000072071
Targets	0.00923	ENSG00000152804
Targets	0.03927	ENSG00000175556
Targets	-0.0417	ENSG00000020256
Targets	0.29603	ENSG00000165359
Targets	0.31821	ENSG00000116580
Targets	0.15897	ENSG00000198793
Targets	0.16341	ENSG00000139182
Targets	0.08503	ENSG00000185236
Targets	-0.19774	ENSG00000115310
Targets	-0.09591	ENSG00000127870
Targets	0.12539	ENSG00000128917
Targets	0.35149	ENSG00000065526
Targets	0.114	ENSG00000130827
Targets	-0.08883	ENSG00000143862
Targets	-0.03255	ENSG00000106537
Targets	-0.12453	ENSG00000100906
Targets	-0.0861	ENSG00000101474
Targets	0.18516	ENSG00000110514
Targets	0.16955	ENSG00000147364
Targets	-0.1006	ENSG00000164695
Targets	-0.22331	ENSG00000175348
Targets	0.10788	ENSG00000172071
Targets	0.13763	ENSG00000052841
Targets	0.16952	ENSG00000148296
Targets	-0.09785	ENSG00000188313
Targets	-0.05161	ENSG00000105856
Targets	-0.11174	ENSG00000102100
Targets	-0.18606	ENSG00000162909
Targets	0.02932	ENSG00000043355
Targets	-0.21643	ENSG00000132002
Targets	0.20541	ENSG00000103326
Targets	-0.09171	ENSG00000109099
Targets	-0.14871	ENSG00000092820
Targets	-0.1906	ENSG00000163162
Targets	0.21939	ENSG00000119715
Targets	-0.11761	ENSG00000102804
Targets	-0.01245	ENSG00000112812
Targets	0.26786	ENSG00000162298
Targets	0.049	ENSG00000134049
Targets	-0.1157	ENSG00000166831
Targets	-0.01881	ENSG00000101230
Targets	0.13596	ENSG00000034053
Targets	0.33931	ENSG00000117616
Targets	0.06428	ENSG00000147050
Targets	-0.04752	ENSG00000104763
Targets	-0.05406	ENSG00000177606
Targets	0.09421	ENSG00000120616
Targets	-0.15884	ENSG00000149177
Targets	0.19805	ENSG00000182087
Targets	-0.09954	ENSG00000135269
Targets	0.15191	ENSG00000123636
Targets	0.00074	ENSG00000167110
Targets	0.0916	ENSG00000108262
Targets	0.01119	ENSG00000254087
Targets	-0.14276	ENSG00000125304
Targets	0.25785	ENSG00000109046
Targets	-0.16908	ENSG00000050405
Targets	-0.09592	ENSG00000131435
Targets	0.19092	ENSG00000146757
Targets	0.13577	ENSG00000127561
Targets	-0.11911	ENSG00000120738
Targets	-0.00612	ENSG00000137509
Targets	0.20581	ENSG00000112787
Targets	-0.17569	ENSG00000125170
Targets	-0.08409	ENSG00000155090
Targets	0.20614	ENSG00000172432
Targets	-0.07252	ENSG00000011566
Targets	-0.18959	ENSG00000113583
Targets	-0.05025	ENSG00000130821
Targets	-0.12323	ENSG00000144566
Targets	-0.13479	ENSG00000168575
Targets	-0.0498	ENSG00000001084
Targets	0.06239	ENSG00000076706
Targets	-0.26688	ENSG00000158747
Targets	-0.04925	ENSG00000134363
Targets	0.06483	ENSG00000196588
Targets	0.03327	ENSG00000163875
Targets	0.11787	ENSG00000108557
Targets	-0.00336	ENSG00000171603
Targets	-0.10274	ENSG00000144579
Targets	0.16973	ENSG00000100425
Targets	-0.19765	ENSG00000164251
Targets	-0.13713	ENSG00000130779
Targets	0.05847	ENSG00000011304
Targets	-0.01485	ENSG00000134326
Targets	0.18059	ENSG00000068885
Targets	-0.03887	ENSG00000163527
Targets	0.06546	ENSG00000034677
Targets	-0.07702	ENSG00000101665
Targets	0.09657	ENSG00000181027
Targets	0.02903	ENSG00000197081
Targets	-0.13576	ENSG00000102996
Targets	0.05367	ENSG00000154080
Targets	-0.10735	ENSG00000111907
Targets	-0.0266	ENSG00000160014
Targets	-0.03809	ENSG00000009335
Targets	-0.18231	ENSG00000102554
Targets	0.00443	ENSG00000196937
Targets	-0.02411	ENSG00000068078
Targets	-0.05004	ENSG00000139292
Targets	-0.00018	ENSG00000131873
Targets	0.10792	ENSG00000008130
Targets	-0.13647	ENSG00000159200
Targets	-0.01472	ENSG00000148400
Targets	-0.02654	ENSG00000196792
Targets	-0.18747	ENSG00000101150
Targets	0.18026	ENSG00000156650
Targets	0.21695	ENSG00000170448
Targets	-0.13274	ENSG00000131165
Targets	-0.1494	ENSG00000171867
Targets	0.07683	ENSG00000164305
Targets	-0.03082	ENSG00000119541
Targets	0.04708	ENSG00000143126
Targets	-0.19964	ENSG00000240849
Targets	-0.01882	ENSG00000187164
Targets	0.08527	ENSG00000085721
Targets	0.04885	ENSG00000184916
Targets	-0.07359	ENSG00000012660
Targets	-0.12665	ENSG00000054598
Targets	0.05442	ENSG00000135097
Targets	-0.00069	ENSG00000133872
Targets	-0.00157	ENSG00000198915
Targets	-0.16558	ENSG00000189067
Targets	-0.17855	ENSG00000198959
Targets	-0.11792	ENSG00000127948
Targets	-0.05328	ENSG00000164830
Targets	-0.0065	ENSG00000044574
Targets	0.12002	ENSG00000165802
Targets	0.08776	ENSG00000130449
Targets	0.04209	ENSG00000161526
Targets	-0.06298	ENSG00000154734
Targets	-0.01618	ENSG00000108639
Targets	-0.08478	ENSG00000186834
Targets	-0.14714	ENSG00000162734
Targets	-0.13098	ENSG00000006453
Targets	-0.03709	ENSG00000115806
Targets	-0.09678	ENSG00000205213
Targets	-0.03413	ENSG00000038427
Targets	0.11313	ENSG00000165355
Targets	-0.03567	ENSG00000184937
Targets	0.26678	ENSG00000116731
Targets	-0.11123	ENSG00000112874
Targets	-0.00957	ENSG00000157240
Targets	-0.07302	ENSG00000198435
Targets	-0.03217	ENSG00000066629
Targets	0.05873	ENSG00000173334
Targets	0.04968	ENSG00000111737
Targets	0.12026	ENSG00000136842
Targets	0.10171	ENSG00000181751
Targets	0.11012	ENSG00000198814
Targets	0.14015	ENSG00000153339
Targets	-0.1574	ENSG00000112033
Targets	0.05452	ENSG00000141551
Targets	0.33441	ENSG00000221978
Targets	0.01543	ENSG00000129911
Targets	0.19401	ENSG00000100241
Targets	0.03691	ENSG00000158321
Targets	0.04742	ENSG00000157404
Targets	-0.08619	ENSG00000004799
Targets	0.06458	ENSG00000241839
Targets	0.22851	ENSG00000108669
Targets	-0.12504	ENSG00000155760
Targets	-0.16007	ENSG00000130340
Targets	-0.03751	ENSG00000082074
Targets	0.11761	ENSG00000091129
Targets	0.35971	ENSG00000173064
Targets	0.03673	ENSG00000110048
Targets	-0.17393	ENSG00000134755
Targets	-0.13377	ENSG00000046604
Targets	-0.15032	ENSG00000105976
Targets	0.22372	ENSG00000130749
Targets	0.06785	ENSG00000110075
Targets	-0.07451	ENSG00000181104
